l,a,b,p,v,label
86.2846,2.5736,-13.73,8.244536,0.258815219,drawer
29.5268,3.42339,-6.27106,8.244536,0.258815219,bottle
2.90448,2.32729,-0.887473,8.244536,0.258815219,bag
5.29238,5.67954,-0.269305,8.244536,0.258815219,knife
64.2552,8.44571,-2.17713,8.244536,0.258815219,bottle
88.3005,4.40466,-14.4138,8.244536,0.258815219,drawer
68.6641,9.77221,0.458688,8.244536,0.258815219,bottle
64.2396,5.51144,-12.8416,8.244536,0.258815219,stove
44.1216,4.94365,-4.50471,8.244536,0.258815219,stove
29.2563,7.3471,3.21899,8.244536,0.258815219,stove
49.0081,5.1857,-6.87745,8.244536,0.258815219,stove
30.573,4.80586,-2.63761,8.244536,0.258815219,stove
27.5513,21.6942,-27.9114,8.244536,0.258815219,sunblock
58.6871,44.4319,34.3603,8.244536,0.258815219,sunblock
62.6292,42.1455,41.4363,8.244536,0.258815219,sunblock
86.5894,2.08106,-10.1002,5.864184,0.1167021959,drawer
58.5132,8.39286,-13.1516,5.864184,0.1167021959,stove
88.9608,-6.82818,79.1202,5.864184,0.1167021959,plastic
70.5655,5.33809,-2.85314,5.864184,0.1167021959,stove
66.1976,4.55236,-4.9594,5.864184,0.1167021959,drawer
50.4414,33.8105,41.5992,5.864184,0.1167021959,sunblock
45.4766,-26.6443,31.4827,5.864184,0.1167021959,repellent
47.304,-26.0767,13.2148,5.864184,0.1167021959,repellent
59.8315,-33.9425,31.4315,5.864184,0.1167021959,repellent
66.7641,30.7999,35.8278,5.864184,0.1167021959,sunblock
57.2278,23.9024,1.63782,5.864184,0.1167021959,repellent
52.0131,6.57929,10.3166,5.864184,0.1167021959,repellent
20.8316,9.59948,2.15693,5.33044,0.0848363318,lamp
14.2678,17.0474,1.86801,5.33044,0.0848363318,lamp
44.2609,67.2823,39.9587,5.33044,0.0848363318,brush
34.6361,8.56277,0.184957,5.33044,0.0848363318,burner
56.3263,9.56836,-9.55884,5.33044,0.0848363318,burner
49.6543,7.05771,-15.8915,5.33044,0.0848363318,poncho
62.4619,7.0525,-39.4097,5.33044,0.0848363318,poncho
33.5027,50.0813,8.83696,5.33044,0.0848363318,lamp
21.9687,15.2213,-4.93497,5.33044,0.0848363318,lamp
46.9018,67.1208,17.5013,5.33044,0.0848363318,brush
69.8882,6.94814,-39.3976,5.33044,0.0848363318,poncho
82.3148,0.655046,-6.9192,5.33044,0.0848363318,poncho
41.417,47.3264,17.4082,5.33044,0.0848363318,pouch
6.34796,13.2957,1.23698,5.33044,0.0848363318,pouch
21.9299,28.1446,2.05964,5.33044,0.0848363318,pouch
53.5287,10.0175,-40.9279,5.33044,0.0848363318,poncho
73.9915,14.4581,2.55633,5.33044,0.0848363318,pouch
35.1083,51.2022,20.1826,5.33044,0.0848363318,pouch
33.2205,41.2375,10.9279,5.33044,0.0848363318,pouch
43.9058,32.3423,1.22639,5.33044,0.0848363318,pouch
85.7509,2.74317,-14.0697,17.491488,1.9084155872,drawer
61.6795,4.92216,-19.3931,17.491488,1.9084155872,drawer
35.6071,4.69505,-4.35226,17.491488,1.9084155872,bottle
