l,a,b,x,y,z,label
86.2846,2.5736,-13.73,0.00488682,0.00488682,0.0108377,drawer
29.5268,3.42339,-6.27106,0.00488682,0.00488682,0.0108377,bottle
2.90448,2.32729,-0.887473,0.00488682,0.00488682,0.0108377,bag
5.29238,5.67954,-0.269305,0.00488682,0.00488682,0.0108377,knife
64.2552,8.44571,-2.17713,0.00488682,0.00488682,0.0108377,bottle
88.3005,4.40466,-14.4138,0.00488682,0.00488682,0.0108377,drawer
68.6641,9.77221,0.458688,0.00488682,0.00488682,0.0108377,bottle
64.2396,5.51144,-12.8416,0.00488682,0.00488682,0.0108377,stove
44.1216,4.94365,-4.50471,0.00488682,0.00488682,0.0108377,stove
29.2563,7.3471,3.21899,0.00488682,0.00488682,0.0108377,stove
49.0081,5.1857,-6.87745,0.00488682,0.00488682,0.0108377,stove
30.573,4.80586,-2.63761,0.00488682,0.00488682,0.0108377,stove
27.5513,21.6942,-27.9114,0.00488682,0.00488682,0.0108377,sunblock
58.6871,44.4319,34.3603,0.00488682,0.00488682,0.0108377,sunblock
62.6292,42.1455,41.4363,0.00488682,0.00488682,0.0108377,sunblock
86.5894,2.08106,-10.1002,0.00488682,0.00488682,0.00488682,drawer
58.5132,8.39286,-13.1516,0.00488682,0.00488682,0.00488682,stove
88.9608,-6.82818,79.1202,0.00488682,0.00488682,0.00488682,plastic
70.5655,5.33809,-2.85314,0.00488682,0.00488682,0.00488682,stove
66.1976,4.55236,-4.9594,0.00488682,0.00488682,0.00488682,drawer
50.4414,33.8105,41.5992,0.00488682,0.00488682,0.00488682,sunblock
45.4766,-26.6443,31.4827,0.00488682,0.00488682,0.00488682,repellent
47.304,-26.0767,13.2148,0.00488682,0.00488682,0.00488682,repellent
59.8315,-33.9425,31.4315,0.00488682,0.00488682,0.00488682,repellent
66.7641,30.7999,35.8278,0.00488682,0.00488682,0.00488682,sunblock
57.2278,23.9024,1.63782,0.00488682,0.00488682,0.00488682,repellent
52.0131,6.57929,10.3166,0.00488682,0.00488682,0.00488682,repellent
20.8316,9.59948,2.15693,0.00355246,0.00488682,0.00488682,lamp
14.2678,17.0474,1.86801,0.00355246,0.00488682,0.00488682,lamp
44.2609,67.2823,39.9587,0.00355246,0.00488682,0.00488682,brush
34.6361,8.56277,0.184957,0.00355246,0.00488682,0.00488682,burner
56.3263,9.56836,-9.55884,0.00355246,0.00488682,0.00488682,burner
49.6543,7.05771,-15.8915,0.00355246,0.00488682,0.00488682,poncho
62.4619,7.0525,-39.4097,0.00355246,0.00488682,0.00488682,poncho
33.5027,50.0813,8.83696,0.00355246,0.00488682,0.00488682,lamp
21.9687,15.2213,-4.93497,0.00355246,0.00488682,0.00488682,lamp
46.9018,67.1208,17.5013,0.00355246,0.00488682,0.00488682,brush
69.8882,6.94814,-39.3976,0.00355246,0.00488682,0.00488682,poncho
82.3148,0.655046,-6.9192,0.00355246,0.00488682,0.00488682,poncho
41.417,47.3264,17.4082,0.00355246,0.00488682,0.00488682,pouch
6.34796,13.2957,1.23698,0.00355246,0.00488682,0.00488682,pouch
21.9299,28.1446,2.05964,0.00355246,0.00488682,0.00488682,pouch
53.5287,10.0175,-40.9279,0.00355246,0.00488682,0.00488682,poncho
73.9915,14.4581,2.55633,0.00355246,0.00488682,0.00488682,pouch
35.1083,51.2022,20.1826,0.00355246,0.00488682,0.00488682,pouch
33.2205,41.2375,10.9279,0.00355246,0.00488682,0.00488682,pouch
43.9058,32.3423,1.22639,0.00355246,0.00488682,0.00488682,pouch
85.7509,2.74317,-14.0697,0.00842676,0.00842676,0.0268752,drawer
61.6795,4.92216,-19.3931,0.00842676,0.00842676,0.0268752,drawer
35.6071,4.69505,-4.35226,0.00842676,0.00842676,0.0268752,bottle
2.47334,1.93473,-0.378709,0.00842676,0.00842676,0.00842676,bag
66.3256,8.07586,-0.392505,0.00842676,0.00842676,0.00842676,bottle
2.42451,3.122,-0.868652,0.00842676,0.00842676,0.00842676,knife
88.3259,4.63815,-14.0396,0.00842676,0.00842676,0.00842676,drawer
43.3443,4.70895,-4.56531,0.00842676,0.00842676,0.00842676,stove
23.3217,4.39987,1.67453,0.00842676,0.00842676,0.00842676,stove
61.3655,3.77016,-8.71877,0.00842676,0.00842676,0.00842676,stove
38.8515,5.31672,1.92297,0.00842676,0.00842676,0.00842676,stove
35.1029,8.7106,2.69091,0.00842676,0.00842676,0.00842676,stove
88.6274,1.58313,-8.57013,0.00842676,0.00842676,0.00842676,drawer
20.7796,3.7075,0.807051,0.00842676,0.00842676,0.00842676,stove
72.0831,6.84627,-9.42091,0.00842676,0.00842676,0.00842676,drawer
53.3407,4.17114,-0.382222,0.00842676,0.00842676,0.00842676,stove
62.8508,4.71616,-0.936937,0.00842676,0.00842676,0.00842676,stove
33.6737,22.5962,-9.71902,0.00842676,0.00842676,0.00842676,sunblock
63.5203,39.8766,41.9173,0.00842676,0.00842676,0.00842676,sunblock
91.1057,2.35826,0.328436,0.00842676,0.00842676,0.00842676,stove
59.1355,50.5538,-1.12672,0.00842676,0.00842676,0.00842676,sunblock
52.356,-24.5149,28.586,0.00842676,0.00842676,0.00842676,repellent
50.5676,6.5068,-8.26898,0.00842676,0.00842676,0.00842676,stove
87.6236,-3.90745,77.1162,0.00355727,0.00842676,0.00842676,plastic
34.1334,-15.1491,13.6101,0.00355727,0.00842676,0.00842676,repellent
70.8155,13.1703,5.58881,0.00355727,0.00834973,0.00842676,repellent
31.3168,-29.6442,24.3345,0.00355727,0.00834973,0.00842676,repellent
48.1031,-33.0028,40.0633,0.00355727,0.00834973,0.00842676,repellent
68.6661,-23.5851,23.3949,0.00355727,0.00834973,0.00842676,repellent
43.1608,66.1428,38.5193,0.00355727,0.00834973,0.00842676,brush
22.6955,9.18571,4.42554,0.00355727,0.00834973,0.00842676,burner
30.5388,9.04342,-6.35372,0.00355727,0.00834973,0.00842676,burner
18.2494,9.98091,3.82749,0.00355727,0.00834973,0.00842676,burner
57.2201,5.05057,-3.8759,0.00355727,0.00834973,0.00842676,poncho
16.8493,11.2523,4.79152,0.00355727,0.00834973,0.00842676,lamp
19.2076,16.9261,7.22843,0.00355727,0.00834973,0.00842676,lamp
31.1425,48.0995,17.6029,0.00355727,0.00834973,0.00842676,lamp
52.1047,10.3663,-28.9166,0.00355727,0.00834973,0.00842676,poncho
63.3027,11.1849,-50.2765,0.00355727,0.00834973,0.00842676,poncho
46.145,71.0633,46.2632,0.00355727,0.00834973,0.00842676,brush
46.6178,66.0535,22.7298,0.00355727,0.00834973,0.00842676,brush
50.3467,59.3504,22.2579,0.00355727,0.00834973,0.00842676,pouch
67.8285,24.2183,3.41799,0.00355727,0.00834973,0.00842676,pouch
75.2975,0.807283,-28.0364,0.00355727,0.00834973,0.00842676,poncho
92.4838,-2.80384,-5.82698,0.00355727,0.00834973,0.00842676,poncho
36.1513,45.5209,33.643,0.00355727,0.00834973,0.00842676,brush
39.3454,52.0625,16.2315,0.00355727,0.00834973,0.00842676,pouch
14.2527,27.6835,8.3913,0.00355727,0.00834973,0.00842676,pouch
30.8332,26.4509,-1.42472,0.00355727,0.00834973,0.00842676,pouch
